accession	file_name	file_type	url	local_relative_path	dataset_license	dataset_license_url	license_status	redistribution_status	download_status
MTBLS10129	a_MTBLS10129_exo_LC-MS_negative_hilic_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/a_MTBLS10129_exo_LC-MS_negative_hilic_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10129/a_MTBLS10129_exo_LC-MS_negative_hilic_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	a_MTBLS10129_exo_LC-MS_negative_reverse-phase_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/a_MTBLS10129_exo_LC-MS_negative_reverse-phase_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10129/a_MTBLS10129_exo_LC-MS_negative_reverse-phase_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	a_MTBLS10129_exo_LC-MS_positive_hilic_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/a_MTBLS10129_exo_LC-MS_positive_hilic_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10129/a_MTBLS10129_exo_LC-MS_positive_hilic_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	a_MTBLS10129_exo_LC-MS_positive_reverse-phase_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/a_MTBLS10129_exo_LC-MS_positive_reverse-phase_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10129/a_MTBLS10129_exo_LC-MS_positive_reverse-phase_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	a_MTBLS10129_non-polar_endo_LC-MS_negative_reverse-phase_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/a_MTBLS10129_non-polar_endo_LC-MS_negative_reverse-phase_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10129/a_MTBLS10129_non-polar_endo_LC-MS_negative_reverse-phase_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	a_MTBLS10129_non-polar_endo_LC-MS_positive_reverse-phase_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/a_MTBLS10129_non-polar_endo_LC-MS_positive_reverse-phase_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10129/a_MTBLS10129_non-polar_endo_LC-MS_positive_reverse-phase_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	a_MTBLS10129_polar_endo_LC-MS_negative_hilic_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/a_MTBLS10129_polar_endo_LC-MS_negative_hilic_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10129/a_MTBLS10129_polar_endo_LC-MS_negative_hilic_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	a_MTBLS10129_polar_endo_LC-MS_positive_hilic_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/a_MTBLS10129_polar_endo_LC-MS_positive_hilic_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10129/a_MTBLS10129_polar_endo_LC-MS_positive_hilic_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS10129/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	m_MTBLS10129_exo_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/m_MTBLS10129_exo_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10129/m_MTBLS10129_exo_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	m_MTBLS10129_exo_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/m_MTBLS10129_exo_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10129/m_MTBLS10129_exo_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	m_MTBLS10129_exo_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/m_MTBLS10129_exo_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10129/m_MTBLS10129_exo_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	m_MTBLS10129_exo_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/m_MTBLS10129_exo_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10129/m_MTBLS10129_exo_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	m_MTBLS10129_non-polar_endo_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/m_MTBLS10129_non-polar_endo_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10129/m_MTBLS10129_non-polar_endo_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	m_MTBLS10129_non-polar_endo_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/m_MTBLS10129_non-polar_endo_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10129/m_MTBLS10129_non-polar_endo_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	m_MTBLS10129_polar_endo_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/m_MTBLS10129_polar_endo_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10129/m_MTBLS10129_polar_endo_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	m_MTBLS10129_polar_endo_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/m_MTBLS10129_polar_endo_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10129/m_MTBLS10129_polar_endo_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10129	s_MTBLS10129.txt	metadata_sample	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10129/s_MTBLS10129.txt	raw/metabolomics/MetaboLights/MTBLS10129/s_MTBLS10129.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1044	a_MTBLS1044_BEH_mass_spectrometry.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1044/a_MTBLS1044_BEH_mass_spectrometry.txt	raw/metabolomics/MetaboLights/MTBLS1044/a_MTBLS1044_BEH_mass_spectrometry.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1044	a_MTBLS1044_iHILIC_mass_spectrometry.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1044/a_MTBLS1044_iHILIC_mass_spectrometry.txt	raw/metabolomics/MetaboLights/MTBLS1044/a_MTBLS1044_iHILIC_mass_spectrometry.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1044	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1044/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS1044/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1044	m_MTBLS1044_mass_spectrometry_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1044/m_MTBLS1044_mass_spectrometry_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS1044/m_MTBLS1044_mass_spectrometry_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1044	s_MTBLS1044.txt	metadata_sample	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1044/s_MTBLS1044.txt	raw/metabolomics/MetaboLights/MTBLS1044/s_MTBLS1044.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10647	a_MTBLS10647_FIA-MS_negative__metabolite_profiling-1.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10647/a_MTBLS10647_FIA-MS_negative__metabolite_profiling-1.txt	raw/metabolomics/MetaboLights/MTBLS10647/a_MTBLS10647_FIA-MS_negative__metabolite_profiling-1.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10647	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10647/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS10647/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10647	m_MTBLS10647_FIA-MS_negative__metabolite_profiling-1_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10647/m_MTBLS10647_FIA-MS_negative__metabolite_profiling-1_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10647/m_MTBLS10647_FIA-MS_negative__metabolite_profiling-1_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10647	s_MTBLS10647.txt	metadata_sample	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10647/s_MTBLS10647.txt	raw/metabolomics/MetaboLights/MTBLS10647/s_MTBLS10647.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10720	a_MTBLS10720_LC-MS_alternating_hilic_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10720/a_MTBLS10720_LC-MS_alternating_hilic_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10720/a_MTBLS10720_LC-MS_alternating_hilic_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10720	a_MTBLS10720_LC-MS_alternating_reverse-phase_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10720/a_MTBLS10720_LC-MS_alternating_reverse-phase_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10720/a_MTBLS10720_LC-MS_alternating_reverse-phase_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10720	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10720/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS10720/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10720	m_MTBLS10720_LC-MS_alternating_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10720/m_MTBLS10720_LC-MS_alternating_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10720/m_MTBLS10720_LC-MS_alternating_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10720	s_MTBLS10720.txt	metadata_sample	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10720/s_MTBLS10720.txt	raw/metabolomics/MetaboLights/MTBLS10720/s_MTBLS10720.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10724	a_MTBLS10724_LC-DAD_alternating_reverse-phase_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10724/a_MTBLS10724_LC-DAD_alternating_reverse-phase_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS10724/a_MTBLS10724_LC-DAD_alternating_reverse-phase_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10724	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10724/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS10724/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10724	m_MTBLS10724_LC-DAD_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10724/m_MTBLS10724_LC-DAD_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS10724/m_MTBLS10724_LC-DAD_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS10724	s_MTBLS10724.txt	metadata_sample	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS10724/s_MTBLS10724.txt	raw/metabolomics/MetaboLights/MTBLS10724/s_MTBLS10724.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	a_MTBLS1079_Exp1_GCxGC-MS.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/a_MTBLS1079_Exp1_GCxGC-MS.txt	raw/metabolomics/MetaboLights/MTBLS1079/a_MTBLS1079_Exp1_GCxGC-MS.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	a_MTBLS1079_Exp2_GCxGC-MS.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/a_MTBLS1079_Exp2_GCxGC-MS.txt	raw/metabolomics/MetaboLights/MTBLS1079/a_MTBLS1079_Exp2_GCxGC-MS.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	a_MTBLS1079_Exp3_GCxGC-MS.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/a_MTBLS1079_Exp3_GCxGC-MS.txt	raw/metabolomics/MetaboLights/MTBLS1079/a_MTBLS1079_Exp3_GCxGC-MS.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	a_MTBLS1079_Exp4_GCxGC-MS.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/a_MTBLS1079_Exp4_GCxGC-MS.txt	raw/metabolomics/MetaboLights/MTBLS1079/a_MTBLS1079_Exp4_GCxGC-MS.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS1079/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	m_MTBLS1079_Exp1_GCxGC-MS_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/m_MTBLS1079_Exp1_GCxGC-MS_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS1079/m_MTBLS1079_Exp1_GCxGC-MS_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	m_MTBLS1079_Exp2_GCxGC-MS_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/m_MTBLS1079_Exp2_GCxGC-MS_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS1079/m_MTBLS1079_Exp2_GCxGC-MS_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	m_MTBLS1079_Exp3_GCxGC-MS_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/m_MTBLS1079_Exp3_GCxGC-MS_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS1079/m_MTBLS1079_Exp3_GCxGC-MS_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	m_MTBLS1079_Exp4_GCxGC-MS_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/m_MTBLS1079_Exp4_GCxGC-MS_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS1079/m_MTBLS1079_Exp4_GCxGC-MS_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS1079	s_MTBLS1079.txt	metadata_sample	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS1079/s_MTBLS1079.txt	raw/metabolomics/MetaboLights/MTBLS1079/s_MTBLS1079.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11049	a_MTBLS11049_LC-MS_negative__metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11049/a_MTBLS11049_LC-MS_negative__metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS11049/a_MTBLS11049_LC-MS_negative__metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11049	a_MTBLS11049_LC-MS_positive__metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11049/a_MTBLS11049_LC-MS_positive__metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS11049/a_MTBLS11049_LC-MS_positive__metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11049	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11049/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS11049/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11049	m_MTBLS11049_LC-MS_negative__metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11049/m_MTBLS11049_LC-MS_negative__metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS11049/m_MTBLS11049_LC-MS_negative__metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11049	m_MTBLS11049_LC-MS_positive__metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11049/m_MTBLS11049_LC-MS_positive__metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS11049/m_MTBLS11049_LC-MS_positive__metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11049	s_MTBLS11049.txt	metadata_sample	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11049/s_MTBLS11049.txt	raw/metabolomics/MetaboLights/MTBLS11049/s_MTBLS11049.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11078	a_MTBLS11078_LC-MS__hilic_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11078/a_MTBLS11078_LC-MS__hilic_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS11078/a_MTBLS11078_LC-MS__hilic_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11078	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11078/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS11078/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11078	m_MTBLS11078_LC-MS__hilic_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11078/m_MTBLS11078_LC-MS__hilic_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS11078/m_MTBLS11078_LC-MS__hilic_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11078	s_MTBLS11078.txt	metadata_sample	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11078/s_MTBLS11078.txt	raw/metabolomics/MetaboLights/MTBLS11078/s_MTBLS11078.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11212	a_MTBLS11212_LC-MS_negative_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11212/a_MTBLS11212_LC-MS_negative_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS11212/a_MTBLS11212_LC-MS_negative_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11212	a_MTBLS11212_LC-MS_positive_metabolite_profiling.txt	metadata_assay	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11212/a_MTBLS11212_LC-MS_positive_metabolite_profiling.txt	raw/metabolomics/MetaboLights/MTBLS11212/a_MTBLS11212_LC-MS_positive_metabolite_profiling.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11212	i_Investigation.txt	metadata_investigation	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11212/i_Investigation.txt	raw/metabolomics/MetaboLights/MTBLS11212/i_Investigation.txt	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
MTBLS11212	m_MTBLS11212_LC-MS_negative_metabolite_profiling_v2_maf.tsv	metadata_maf	https://ftp.ebi.ac.uk/pub/databases/metabolights/studies/public/MTBLS11212/m_MTBLS11212_LC-MS_negative_metabolite_profiling_v2_maf.tsv	raw/metabolomics/MetaboLights/MTBLS11212/m_MTBLS11212_LC-MS_negative_metabolite_profiling_v2_maf.tsv	EMBL-EBI Terms of Use	https://www.ebi.ac.uk/about/terms-of-use/	per_study_terms	conditional_until_reviewed	pending
